Date,Time,Type,Right,Instrument,Product,Qty.,Avg. price,Status
2024-07-26,09:20:26,SELL,PE,24000,NRML,25/25,29.15,COMPLETE
2024-07-26,09:21:17,SELL,CE,24850,NRML,25/25,22.45,COMPLETE
2024-07-26,09:21:17,BUY,CE,25450,NRML,25/25,1.8,COMPLETE
2024-07-26,09:21:17,BUY,PE,23400,NRML,25/25,4.15,COMPLETE
2024-07-26,10:07:44,BUY,CE,24850,NRML,25/25,44.9,COMPLETE
2024-07-26,10:10:15,SELL,CE,25450,NRML,25/25,2.05,COMPLETE
2024-07-26,10:10:24,SELL,CE,25050,NRML,25/25,12.9,COMPLETE
2024-07-26,10:10:37,SELL,PE,24050,NRML,25/25,19.75,COMPLETE
2024-07-26,10:10:38,BUY,CE,25650,NRML,25/25,1.5,COMPLETE
2024-07-26,10:10:38,BUY,PE,23450,NRML,25/25,4.05,COMPLETE
2024-07-26,12:32:07,BUY,CE,25050,NRML,25/25,24.5,COMPLETE
2024-07-26,12:35:40,SELL,CE,25650,NRML,25/25,1.75,COMPLETE
2024-07-26,12:35:51,SELL,CE,25250,NRML,25/25,7.8,COMPLETE
2024-07-26,12:35:57,SELL,PE,24100,NRML,25/25,13.9,COMPLETE
2024-07-26,12:35:57,BUY,CE,25850,NRML,25/25,1.15,COMPLETE
2024-07-26,12:35:57,BUY,PE,23500,NRML,25/25,4.2,COMPLETE
2024-07-26,13:14:14,BUY,CE,25250,NRML,25/25,14.75,COMPLETE
2024-07-26,13:16:01,SELL,CE,25850,NRML,25/25,1.6,COMPLETE
2024-07-26,13:16:40,SELL,PE,24150,NRML,25/25,15.2,COMPLETE
2024-07-26,13:16:41,BUY,PE,23550,NRML,25/25,4.75,COMPLETE
2024-07-26,15:33:01,BUY,PE,24000,NRML,0/25,29.1,CANCELLED
2024-07-26,15:33:01,BUY,PE,24050,NRML,0/25,19.75,CANCELLED
2024-07-26,15:33:01,BUY,PE,24100,NRML,0/25,27.8,CANCELLED
2024-07-26,15:33:01,BUY,PE,24150,NRML,0/25,30.4,CANCELLED
