Time,Type,Instrument,Product,Qty.,Avg. price,Status
2023-08-17 12:13:59,SELL,NIFTY2381719450CE,MIS,50/50,5.15,COMPLETE
2023-08-17 12:13:55,SELL,NIFTY2381719450CE,MIS,0/50,8,CANCELLED
2023-08-17 12:13:44,SELL,NIFTY2381719450CE,MIS,0/50,0,REJECTED
2023-08-17 12:09:47,BUY,NIFTY2381719450CE,MIS,50/50,6.4,COMPLETE
2023-08-17 11:59:34,SELL,NIFTY2381719450CE,MIS,50/50,6.95,COMPLETE
2023-08-17 11:58:32,BUY,NIFTY2381719450CE,MIS,50/50,7.1,COMPLETE
2023-08-17 11:51:03,SELL,NIFTY2381719450CE,MIS,50/50,8,COMPLETE
2023-08-17 11:50:55,SELL,NIFTY2381719450CE,MIS,0/50,8.95,CANCELLED
2023-08-17 11:46:21,BUY,NIFTY2381719450CE,MIS,50/50,8.1,COMPLETE
2023-08-17 11:44:22,SELL,NIFTY2381719400CE,MIS,50/50,17.8,COMPLETE
2023-08-17 11:42:01,BUY,NIFTY2381719400CE,MIS,50/50,19.05,COMPLETE
2023-08-17 11:40:41,BUY,NIFTY2381719400CE,MIS,0/50,16.4,CANCELLED
2023-08-17 11:37:03,BUY,NIFTY2381719400CE,MIS,0/50,15.3,CANCELLED
2023-08-17 11:30:12,SELL,NIFTY2381719400CE,MIS,50/50,17,COMPLETE
2023-08-17 11:27:51,BUY,NIFTY2381719400CE,MIS,0/50,15.65,CANCELLED
2023-08-17 11:19:59,BUY,NIFTY2381719400CE,MIS,50/50,16.65,COMPLETE
2023-08-17 11:04:39,SELL,NIFTY2381719450CE,MIS,50/50,19.55,COMPLETE
2023-08-17 11:02:02,SELL,NIFTY2381719450CE,MIS,0/50,0,REJECTED
2023-08-17 10:59:17,SELL,NIFTY2381719450CE,MIS,0/50,0,REJECTED
2023-08-17 10:56:11,SELL,NIFTY2381719450CE,MIS,0/50,0,REJECTED
2023-08-17 10:55:32,SELL,NIFTY2381719450CE,MIS,0/50,0,REJECTED
2023-08-17 10:55:06,SELL,NIFTY2381719450CE,MIS,0/50,0,REJECTED
2023-08-17 10:51:13,SELL,NIFTY2381719450CE,MIS,0/50,16,CANCELLED
2023-08-17 10:43:01,BUY,NIFTY2381719450CE,MIS,50/50,20,COMPLETE
2023-08-17 10:42:29,BUY,NIFTY2381719450CE,MIS,0/50,20,CANCELLED
2023-08-17 10:39:24,SELL,NIFTY2381719450CE,MIS,50/50,17.7,COMPLETE
2023-08-17 10:32:08,BUY,NIFTY2381719450CE,MIS,50/50,16.75,COMPLETE
2023-08-17 10:29:51,BUY,NIFTY2381719450CE,MIS,0/50,50,REJECTED
2023-08-17 10:28:05,BUY,NIFTY2381719450CE,MIS,0/50,10,CANCELLED
2023-08-17 10:27:11,SELL,NIFTY2381719450CE,MIS,50/50,17.15,COMPLETE
2023-08-17 10:26:17,BUY,NIFTY2381719450CE,MIS,50/50,16.65,COMPLETE
2023-08-17 10:18:46,BUY,NIFTY2381719450CE,MIS,0/50,14,CANCELLED
2023-08-17 10:15:00,BUY,NIFTY2381719450CE,MIS,0/50,16.5,CANCELLED
2023-08-17 10:12:05,SELL,NIFTY2381719450CE,MIS,50/50,19.45,COMPLETE
2023-08-17 10:11:49,BUY,NIFTY2381719450CE,MIS,50/50,19.65,COMPLETE
